sub,mean_stim,val,conf,RT_val,RT_conf,trial
86,80,"[70.0, 90.0, 80.0, 80.0, 80.0, 80.0, 80.0, 70.0, 90.0, 80.0]","[2.0, 2.0, 2.0, 3.0, 5.0, 3.0, 3.0, 2.0, 2.0, 3.0]","[2.436, 2.991, 3.349, 3.039, 2.83, 2.203, 3.118, 4.224, 4.575, 2.201]","[1.296, 2.209, 3.926, 1.636, 1.679, 1.621, 1.462, 2.878, 1.369, 1.957]","[3, 6, 9, 12, 13, 17, 20, 22, 26, 29, 32, 35, 38, 41, 43, 47, 51, 54, 57, 60]"
87,-80,"[-70.0, -70.0, -90.0, -90.0, -80.0, -80.0, -80.0, -90.0, -80.0, -100.0]","[7.0, 8.0, 10.0, 10.0, 10.0, 10.0, 10.0, 8.0, 8.0, 8.0]","[2.575, 2.34, 2.966, 1.834, 2.975, 1.634, 3.34, 3.325, 2.979, 2.888]","[1.179, 0.98, 2.095, 1.192, 1.451, 2.325, 2.029, 1.383, 2.272, 1.155]","[2, 4, 9, 11, 15, 18, 21, 24, 26, 28, 33, 35, 39, 40, 45, 46, 49, 53, 56, 60]"
87,-50,"[-40.0, -30.0, -40.0, -30.0, -50.0, -40.0, -40.0, -30.0, -40.0, -40.0]","[8.0, 6.0, 7.0, 4.0, 8.0, 9.0, 8.0, 6.0, 8.0, 7.0]","[1.91, 2.657, 4.431, 3.004, 1.802, 1.987, 2.054, 1.648, 2.902, 2.215]","[2.386, 0.845, 1.954, 2.234, 1.397, 1.357, 2.521, 0.973, 1.954, 1.173]","[1, 5, 8, 12, 13, 16, 20, 23, 25, 30, 32, 36, 37, 41, 44, 48, 50, 52, 57, 59]"
87,-20,"[-20.0, -10.0, -20.0, -20.0, -10.0, -20.0, -10.0, 0.0, -20.0, -10.0]","[7.0, 6.0, 8.0, 8.0, 9.0, 7.0, 8.0, 2.0, 8.0, 8.0]","[3.469, 2.547, 2.983, 3.258, 3.209, 1.668, 1.701, 2.883, 2.206, 2.967]","[1.267, 1.587, 1.204, 1.59, 1.783, 2.116, 1.194, 1.883, 1.248, 1.465]","[3, 6, 7, 10, 14, 17, 19, 22, 27, 29, 31, 34, 38, 42, 43, 47, 51, 54, 55, 58]"
87,20,"[40.0, 20.0, 20.0, 20.0, 10.0, 10.0, 50.0, 20.0, 10.0, 20.0]","[5.0, 6.0, 7.0, 8.0, 6.0, 8.0, 4.0, 7.0, 6.0, 7.0]","[1.94, 4.532, 6.821, 2.751, 2.487, 3.103, 1.985, 3.155, 3.177, 2.881]","[5.507, 1.371, 3.236, 1.533, 1.324, 3.123, 2.279, 4.318, 1.133, 2.216]","[2, 5, 9, 11, 15, 17, 21, 22, 25, 29, 33, 36, 39, 42, 44, 47, 49, 54, 57, 58]"
87,50,"[20.0, 60.0, 50.0, 90.0, 60.0, 30.0, 40.0, 50.0, 20.0, 40.0]","[3.0, 7.0, 7.0, 9.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0]","[1.935, 5.936, 3.568, 1.951, 3.401, 2.758, 4.002, 3.324, 2.806, 2.58]","[3.612, 1.241, 0.884, 1.857, 0.916, 0.65, 1.382, 0.865, 1.612, 1.03]","[1, 6, 8, 10, 14, 16, 19, 24, 26, 30, 32, 35, 38, 41, 43, 48, 50, 53, 56, 59]"
87,80,"[90.0, 70.0, 70.0, 80.0, 80.0, 100.0, 90.0, 90.0, 80.0, 80.0]","[10.0, 8.0, 8.0, 9.0, 9.0, 8.0, 9.0, 7.0, 9.0, 10.0]","[4.984, 2.502, 4.947, 3.186, 2.834, 2.886, 2.212, 3.639, 4.239, 2.513]","[1.556, 1.044, 1.896, 0.771, 1.907, 1.257, 1.544, 2.501, 1.866, 1.118]","[3, 4, 7, 12, 13, 18, 20, 23, 27, 28, 31, 34, 37, 40, 45, 46, 51, 52, 55, 60]"
88,-80,"[-50.0, -50.0, -60.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0, -70.0]","[9.0, 8.0, 7.0, 7.0, 7.0, 7.0, 7.0, 9.0, 8.0, 7.0]","[11.436, 7.106, 2.605, 4.011, 3.191, 4.033, 5.404, 2.555, 2.865, 2.166]","[2.086, 1.631, 4.294, 1.357, 1.229, 1.222, 0.973, 1.223, 1.328, 1.287]","[1, 4, 7, 12, 13, 16, 21, 22, 26, 30, 31, 36, 37, 42, 44, 48, 49, 52, 55, 59]"
88,-50,"[-50.0, -60.0, -60.0, -60.0, -60.0, -60.0, -60.0, -60.0, -60.0, -60.0]","[9.0, 9.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 8.0, 7.0]","[18.659, 2.755, 7.021, 5.713, 2.674, 3.004, 4.89, 2.902, 2.176, 3.087]","[61.079, 1.462, 1.91, 2.575, 2.055, 1.229, 0.982, 1.423, 1.43, 1.054]","[2, 6, 9, 11, 14, 18, 19, 24, 25, 29, 32, 35, 39, 41, 45, 46, 51, 54, 57, 58]"
88,-20,"[0.0, 0.0, -20.0, -20.0, -40.0, -20.0, -20.0, -20.0, -30.0, -30.0]","[9.0, 8.0, 7.0, 8.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[14.252, 5.913, 5.317, 7.425, 3.703, 6.724, 3.104, 2.579, 3.621, 2.407]","[5.719, 1.462, 1.894, 2.663, 1.358, 1.351, 1.159, 2.176, 1.929, 1.222]","[3, 5, 8, 10, 15, 17, 20, 23, 27, 28, 33, 34, 38, 40, 43, 47, 50, 53, 56, 60]"
88,20,"[60.0, 60.0, 80.0, 40.0, 60.0, 40.0, 40.0, 40.0, 40.0, 60.0]","[7.0, 8.0, 7.0, 8.0, 7.0, 7.0, 8.0, 8.0, 8.0, 8.0]","[2.978, 4.507, 3.445, 3.493, 2.366, 2.113, 3.34, 3.888, 4.314, 4.312]","[1.478, 4.782, 1.663, 1.375, 2.62, 2.07, 1.405, 1.735, 1.006, 1.983]","[1, 6, 9, 10, 13, 17, 19, 23, 27, 28, 32, 35, 39, 41, 44, 48, 49, 52, 57, 59]"
88,50,"[60.0, 60.0, 60.0, 70.0, 60.0, 60.0, 40.0, 60.0, 40.0, 60.0]","[8.0, 7.0, 7.0, 7.0, 7.0, 6.0, 8.0, 8.0, 7.0, 8.0]","[2.925, 3.078, 3.004, 2.577, 3.038, 2.693, 2.069, 3.146, 2.276, 5.922]","[1.518, 1.838, 2.222, 1.775, 2.125, 1.615, 2.135, 2.223, 0.991, 1.438]","[2, 4, 8, 11, 15, 18, 20, 24, 25, 30, 31, 34, 37, 42, 43, 47, 51, 54, 55, 58]"
88,80,"[80.0, 60.0, 80.0, 70.0, 70.0, 60.0, 60.0, 70.0, 60.0, 70.0]","[7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 8.0, 7.0, 7.0]","[5.279, 3.312, 3.833, 5.028, 2.636, 2.991, 2.546, 4.384, 2.598, 5.522]","[1.456, 2.533, 2.271, 1.678, 1.495, 1.998, 1.534, 2.024, 3.447, 1.509]","[3, 5, 7, 12, 14, 16, 21, 22, 26, 29, 33, 36, 38, 40, 45, 46, 50, 53, 56, 60]"
89,-80,"[-90.0, -90.0, -90.0, -100.0, -90.0, -70.0, -80.0, -90.0, -90.0, -100.0]","[9.0, 10.0, 8.0, 10.0, 9.0, 5.0, 8.0, 9.0, 9.0, 10.0]","[3.697, 1.729, 2.346, 2.321, 15.779, 1.563, 3.588, 10.178, 3.643, 2.153]","[1.318, 1.277, 1.956, 4.508, 1.615, 1.318, 2.466, 1.457, 2.228, 1.231]","[2, 4, 7, 12, 13, 18, 21, 24, 25, 28, 31, 36, 37, 41, 43, 47, 49, 52, 57, 59]"
