sub,mean_stim,val,conf,RT_val,RT_conf,trial
246,-80,"[-60.0, -50.0, -80.0, -100.0, -80.0, -80.0, -50.0, -100.0, -80.0, -100.0, -100.0]","[7.0, 3.0, 7.0, 7.0, 7.0, 8.0, 6.0, 9.0, 8.0, 9.0, 10.0]","[2.417, 2.229, 2.641, 2.646, 2.372, 2.06, 2.151, 1.87, 1.671, 3.695, 1.713]","[1.498, 1.007, 2.406, 2.046, 2.198, 1.622, 0.874, 0.87, 0.94, 1.382, 1.005]","[3, 6, 9, 10, 15, 16, 19, 22, 27, 30, 33, 36, 38, 42, 45, 48, 50, 53, 55, 60]"
246,-50,"[-60.0, -40.0, -60.0, -40.0, -40.0, -20.0, -40.0, -20.0, -60.0, -60.0, -70.0]","[8.0, 4.0, 7.0, 7.0, 5.0, 6.0, 6.0, 9.0, 9.0, 9.0, 10.0]","[2.274, 1.662, 1.996, 1.823, 1.938, 2.214, 2.396, 1.829, 1.776, 1.718, 2.108]","[2.147, 1.593, 1.37, 1.994, 0.982, 2.027, 1.244, 1.363, 0.914, 1.305, 1.311]","[2, 5, 8, 12, 14, 17, 20, 23, 25, 28, 32, 34, 39, 40, 43, 47, 51, 54, 57, 58]"
246,-20,"[-50.0, -80.0, -20.0, -10.0, -30.0, -20.0, -20.0, -20.0, -20.0, -10.0, -10.0]","[4.0, 6.0, 5.0, 5.0, 4.0, 6.0, 8.0, 9.0, 9.0, 9.0, 10.0]","[2.711, 4.279, 2.41, 1.7, 2.07, 1.516, 2.138, 2.119, 1.785, 2.123, 2.51]","[1.519, 2.053, 1.373, 1.313, 3.689, 1.439, 1.33, 2.483, 0.999, 1.113, 0.957]","[1, 4, 7, 11, 13, 18, 21, 24, 26, 29, 31, 35, 37, 41, 44, 46, 49, 52, 56, 59]"
246,20,"[40.0, 40.0, 60.0, 20.0, 40.0, 40.0, 40.0, 20.0, 20.0, 70.0, 50.0]","[7.0, 6.0, 5.0, 5.0, 5.0, 8.0, 2.0, 3.0, 3.0, 5.0, 7.0]","[2.843, 2.543, 2.756, 3.133, 2.015, 2.071, 2.169, 3.031, 1.613, 3.627, 1.495]","[2.574, 1.16, 2.043, 1.546, 1.224, 1.292, 2.335, 2.17, 1.08, 3.088, 1.911]","[2, 6, 8, 12, 13, 16, 21, 23, 27, 30, 31, 35, 39, 40, 43, 47, 51, 54, 56, 60]"
246,50,"[100.0, 60.0, 80.0, 80.0, 80.0, 100.0, 20.0, 0.0, 40.0, 50.0, 40.0]","[6.0, 6.0, 5.0, 5.0, 7.0, 7.0, 7.0, 4.0, 4.0, 5.0, 4.0]","[3.753, 3.112, 3.186, 3.195, 2.671, 2.933, 2.066, 2.308, 1.874, 3.488, 3.019]","[2.538, 1.194, 1.428, 3.823, 1.586, 2.214, 1.561, 1.164, 2.297, 1.137, 2.367]","[1, 4, 9, 10, 15, 18, 19, 22, 25, 28, 33, 34, 37, 41, 45, 48, 50, 52, 55, 58]"
246,80,"[40.0, 40.0, 80.0, 40.0, 80.0, 60.0, 60.0, 60.0, 40.0, 40.0, 20.0]","[6.0, 5.0, 3.0, 5.0, 5.0, 6.0, 5.0, 5.0, 2.0, 5.0, 6.0]","[2.682, 3.583, 3.093, 3.004, 2.398, 2.543, 2.675, 4.239, 2.336, 1.843, 1.65]","[1.484, 2.052, 2.75, 1.507, 1.411, 1.262, 2.286, 0.977, 1.606, 1.076, 1.567]","[3, 5, 7, 11, 14, 17, 20, 24, 26, 29, 32, 36, 38, 42, 44, 46, 49, 53, 57, 59]"
247,-80,"[-20.0, -80.0, -80.0, -90.0, -100.0, -90.0, -90.0, -80.0, -90.0, -70.0, -70.0]","[5.0, 10.0, 5.0, 6.0, 2.0, 8.0, 9.0, 5.0, 8.0, 9.0, 7.0]","[3.141, 2.818, 2.1, 4.663, 1.944, 2.073, 1.694, 1.604, 1.732, 1.752, 2.69]","[6.068, 1.117, 1.754, 1.31, 1.187, 1.898, 1.554, 1.392, 1.152, 1.474, 1.928]","[1, 4, 7, 10, 15, 18, 19, 24, 26, 28, 33, 34, 38, 42, 44, 47, 51, 54, 55, 58]"
247,-50,"[-40.0, -50.0, -60.0, -60.0, -70.0, -50.0, -50.0, -60.0, -60.0, -60.0, -60.0]","[5.0, 8.0, 6.0, 8.0, 6.0, 6.0, 10.0, 9.0, 8.0, 7.0, 5.0]","[2.101, 3.896, 2.431, 3.608, 2.601, 1.464, 1.731, 1.779, 1.839, 1.67, 1.542]","[2.234, 2.366, 1.732, 1.509, 1.348, 1.164, 1.037, 2.022, 1.662, 1.902, 1.545]","[2, 5, 9, 11, 14, 16, 21, 23, 27, 29, 32, 36, 39, 40, 45, 46, 49, 52, 57, 59]"
247,-20,"[-20.0, -20.0, -30.0, -30.0, -30.0, -20.0, -20.0, -10.0, -20.0, -30.0, -30.0]","[7.0, 9.0, 8.0, 6.0, 9.0, 3.0, 10.0, 8.0, 9.0, 9.0, 7.0]","[3.675, 2.507, 2.961, 1.69, 2.355, 2.416, 2.232, 1.656, 2.02, 1.551, 2.188]","[1.478, 1.396, 1.207, 1.46, 2.08, 1.412, 1.61, 1.213, 1.36, 1.402, 1.358]","[3, 6, 8, 12, 13, 17, 20, 22, 25, 30, 31, 35, 37, 41, 43, 48, 50, 53, 56, 60]"
247,20,"[30.0, 30.0, 60.0, 20.0, 40.0, 30.0, 40.0, 50.0, 30.0, 20.0, 20.0]","[5.0, 8.0, 8.0, 5.0, 5.0, 8.0, 8.0, 8.0, 7.0, 7.0, 7.0]","[2.277, 4.576, 1.422, 1.542, 2.391, 1.934, 1.819, 1.851, 2.134, 1.796, 3.892]","[2.546, 0.991, 1.559, 1.404, 0.842, 1.007, 1.444, 0.813, 0.871, 0.908, 0.866]","[2, 4, 9, 12, 13, 17, 20, 24, 27, 30, 32, 35, 37, 42, 44, 48, 50, 53, 55, 58]"
247,50,"[60.0, 80.0, 60.0, 40.0, 60.0, 40.0, 50.0, 60.0, 50.0, 60.0, 60.0]","[7.0, 8.0, 5.0, 5.0, 7.0, 8.0, 8.0, 9.0, 6.0, 9.0, 8.0]","[1.647, 3.959, 2.549, 1.965, 1.933, 3.62, 2.872, 1.594, 1.787, 1.393, 3.089]","[1.306, 1.919, 1.002, 1.034, 0.966, 1.756, 0.897, 2.203, 1.33, 0.912, 1.135]","[3, 6, 8, 10, 14, 16, 21, 22, 26, 29, 33, 36, 39, 41, 43, 46, 49, 52, 57, 59]"
